"date,home_team,away_team,winner,first_shooter"
"1976-06-20,Czechoslovakia,Germany,Czechoslovakia,Czechoslovakia"
"1979-05-22,Argentina,Netherlands,Argentina,Argentina"
"1980-06-21,Italy,Czechoslovakia,Czechoslovakia,Italy"
"1982-07-08,Germany,France,Germany,France"
"1984-06-24,Denmark,Spain,Spain,Denmark"
"1986-06-21,Brazil,France,France,Brazil"
"1986-06-21,Mexico,Germany,Germany,Germany"
"1986-06-22,Spain,Belgium,Belgium,Spain"
"1988-03-31,Germany,Sweden,Sweden,Sweden"
"1988-12-18,South Korea,Saudi Arabia,Saudi Arabia,South Korea"
"1990-02-04,United States,Colombia,Colombia,Colombia"
"1990-02-20,Colombia,Russia,Colombia,Colombia"
"1990-06-25,Republic of Ireland,Romania,Republic of Ireland,Romania"
"1990-06-30,Yugoslavia,Argentina,Argentina,Argentina"
"1990-07-03,Italy,Argentina,Argentina,Italy"
"1990-07-04,Germany,England,Germany,England"
"1991-06-16,Italy,Russia,Italy,Russia"
"1991-07-07,United States,Honduras,United States,United States"
"1992-01-23,Cameroon,Ivory Coast,Ivory Coast,Ivory Coast"
"1992-01-26,Ghana,Ivory Coast,Ivory Coast,Ivory Coast"
"1992-06-22,Netherlands,Denmark,Denmark,Netherlands"
"1993-02-24,Argentina,Denmark,Argentina,Argentina"
"1993-06-26,Colombia,Uruguay,Colombia,Colombia"
"1993-06-27,Brazil,Argentina,Argentina,Brazil"
"1993-07-01,Colombia,Argentina,Argentina,Colombia"
"1993-08-15,Australia,Canada,Australia,Australia"
"1994-04-06,Nigeria,Ivory Coast,Nigeria,Nigeria"
"1994-07-05,Mexico,Bulgaria,Bulgaria,Mexico"
"1994-07-10,Romania,Sweden,Sweden,Sweden"
"1994-07-17,Brazil,Italy,Brazil,Italy"
"1995-01-10,Denmark,Mexico,Denmark,Denmark"
"1995-01-13,Mexico,Nigeria,Mexico,Nigeria"
"1995-07-16,Paraguay,Colombia,Colombia,Colombia"
"1995-07-17,United States,Mexico,United States,United States"
